代號,名稱,年月,分類,資本適足率,股本,資產,權益,稅前損益,授信總額,存款,放款,權益比率,資產報酬率(稅前),存放比率,催收款,逾期放款,甲類逾期放款,乙類逾期放款,放款(含催收款),逾放比率,備抵呆帳,備抵呆帳覆蓋率,收益總計,費損總計,淨收益,利息收入,利息費用,淨利息總收益比,風險承受性
2801,彰銀,2020/12,風險承受度稍弱,14.38,103847,2303458,165064,8312,1553022,1909148,1476785,7.17,0.36,77.35,4942,5589,5042,546,1481728,0.38,18703,3.35 ,51046,44027,7019,22501,8558,1.986465308,0.003047158
2807,渣打銀行,2020/12,風險承受度稍弱,14.03,29106,715772,46498,2780,307155,620847,290395,6.5,0.39,46.77,128,307,165,142,290523,0.11,4632,15.09 ,18067,16161,1906,7114,2452,2.445960126,0.002662859
2809,京城銀,2020/12,表現穩健,16.15,11212,321018,46581,6231,196900,227153,187824,14.51,1.94,82.69,18,25,18,7,187843,0.01,2941,117.64 ,8672,4284,4388,3905,998,0.662488605,0.013669015
2812,台中銀,2020/12,風險承受度稍弱,13.60,41517,728239,57367,4681,485234,638511,460939,7.88,0.64,72.19,814,983,820,162,461753,0.21,6335,6.44 ,14557,10778,3779,10567,3588,1.846784864,0.00518923
2834,臺企銀,2020/12,風險承受度稍弱,13.42,74886,1791909,98857,5358,1246219,1486552,1218596,5.52,0.3,81.97,5699,6133,5936,197,1224295,0.5,14326,2.34 ,28192,25850,2342,19672,7803,5.067890692,0.001306986
2836,高雄銀,2020/12,風險承受度稍弱,12.42,11296,276223,16294,888,182612,230223,177800,5.9,0.32,77.23,403,534,403,131,178203,0.3,2044,3.83 ,4726,4238,488,3167,1540,3.334016393,0.001766689
2837,凱基銀行,2020/12,風險承受度稍弱,14.81,46062,780258,66986,4724,418584,513574,379490,8.59,0.61,73.89,466,593,491,103,379955,0.16,4996,8.42 ,67286,65687,1599,8329,3295,3.148217636,0.002049322
2838,聯邦銀,2020/12,風險承受度稍弱,14.80,32934,748178,60267,3887,445265,613803,428704,8.06,0.52,69.84,379,606,560,46,429083,0.14,4778,7.88 ,17301,15019,2282,9502,3551,2.607800175,0.003050076
2845,遠東銀,2020/12,風險承受度稍弱,14.10,34481,681519,48744,2834,419740,582614,387501,7.15,0.42,66.51,1356,1978,1622,356,388857,0.51,5664,2.86 ,17120,16023,1097,8014,3841,3.804010939,0.00160964
2849,安泰銀,2020/12,表現穩健,16.32,19579,311555,34519,2561,219127,263365,201519,11.08,0.82,76.52,1954,1972,1936,36,203474,0.97,3173,1.61 ,7228,5023,2205,4225,1865,1.070294785,0.007077402
2893,新光銀行,2020/12,表現穩健,16.87,46331,1040507,69698,6670,674223,910400,651927,6.7,0.64,71.61,896,1261,1181,80,652823,0.19,8481,6.73 ,29312,25159,4153,13370,4602,2.111244883,0.003991323
28944,中輸銀,2020/12,表現穩健,29.55,31711,150750,34789,746,165886,0,142976,23.08,0.49,0,51,51,51,0,143027,0.04,1972,38.67 ,1587,1429,158,828,125,4.449367089,0.001048093
2895,陽信銀,2020/12,風險承受度稍弱,13.08,28169,605696,36443,2777,392007,525314,387653,6.02,0.46,73.79,841,870,841,29,388494,0.22,4834,5.56 ,11390,8965,2425,8634,3581,2.08371134,0.004003659
